Region,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,1730.011531679485,1705.0327652392975,1633.9279026452873,,1340.5534809459152,1281.1284399010217,1251.0369829505373,1177.6879474399339,1144.052474130269,1155.098101983673,1139.823710693903,1161.2710115321004,1204.063297283929,1228.7307252773398,1312.132696265812,1411.3235270152115,1505.8371722464435,1562.9244920716433,1613.184876118022,1679.070367803453,1780.7288103407209,1904.5793614198108,1943.6755003146188,1948.5180299286237,1929.7104404274241,1892.8420774468495,1883.0910184818097,1909.9108635773018,1914.7709356630105,1934.922819953088,1989.8030087366012,2073.120729258253,2148.9206117910044,2163.590687238032,2241.5234947072763,2393.5715743454634
Africa,20.32388862365436,20.50010456863626,20.311690324032966,17.648978234498905,16.2128374966559,19.26134251409169,28.581633138388128,15.815419894630317,14.885491444062122,15.997356836302474,17.094038861766172,25.831005229905898,23.673704068889666,22.929959831697417,25.34722943701051,23.76126867898204,28.866256821377515,28.349485779637828,30.191719045475104,31.55896455926071,37.488517961417905,37.66782600616668,39.31220738957029,43.073715519011536,42.31071529890167,45.61540172088961,47.65188746929323,44.31457298955599,41.73450072623568,40.94710934336055,38.525127823652845,39.212596759603706,40.57803130795212,41.51979927902414,39.52023824021885,48.353139472264495
North Africa,3.204941256096819,3.3404032039712335,3.3239380696338734,3.4376792932208544,3.882596733093542,4.085071725644861,4.414555518609052,4.207491270063428,4.449207585246645,4.868609760099123,5.081232863445128,4.464776024843737,5.013111180263809,6.032951521562625,6.11331457645011,6.350616969775442,6.912568158413313,7.165505479480737,7.177628035307122,7.756923001733947,9.164135270821204,10.132769029424255,11.017175767099761,13.822205157293268,14.822735530269364,16.8367811450218,18.001122184069096,18.288690886267265,18.210821327985006,17.70793303826995,17.163740448628666,18.230262995184873,19.31930273500474,18.987438443656902,18.4096650692039,25.353690048349545
sub-Saharan Africa,17.118947367557546,17.159701364665025,16.98775225439909,14.211298941278052,12.330240763562362,15.176270788446832,24.167077619779068,11.607928624566888,10.436283858815479,11.12874707620335,12.012805998321044,21.366229205062172,18.660592888625867,16.89700831013479,19.233914860560397,17.4106517092066,21.953688662964204,21.183980300157092,23.01409101016798,23.802041557526767,28.324382690596707,27.535056976742432,28.29503162247054,29.251510361718278,27.487979768632304,28.778620575867805,29.65076528522414,26.02588210328872,23.523679398250685,23.23917630509058,21.361387375024186,20.98233376441884,21.258728572947387,22.532360835367232,21.11057317101496,22.99944942391496
Americas,828.0315474762956,819.3156362711461,782.5388431855628,692.4483353922487,725.3232016160877,693.2373255106929,662.6347603608704,626.446518212731,591.9786067811765,585.3354659725011,574.5554056407677,574.3620658044547,594.6471376725801,602.5822645290785,669.5311075742808,752.1261738270662,816.7425449413707,855.0387090032311,868.8346725570409,895.6498865531097,960.9816396528472,1035.6841996351072,1064.3904949796756,1052.888098861681,999.0828926262584,928.9818667650557,877.6210729192561,861.3728351044249,857.8499160531511,856.317680941634,881.3088940675956,926.0918132277053,968.2436447964216,957.2719226611109,945.7652443463631,966.6543697617997
Central America and the Caribbean,4.589187527228978,4.71981500019874,4.357761404135659,4.153245451442352,4.541188895423624,4.622268742424582,5.324439992461161,4.596246737241062,4.696251220780706,4.723747798238323,4.800854047953644,4.995918695754825,5.110081418216086,5.295232982848762,5.039039238413411,4.976786317425032,4.651462085367459,4.746439228311806,4.619732005839706,5.80164317590811,5.91931751773645,6.7984341546608595,6.58930327574434,7.091617931692086,7.52901578695138,7.996337090436324,8.235447037351685,7.987534297696352,8.849973643314927,8.27502217540146,9.097037645624658,9.992357890145472,12.241924534645158,11.912744913527058,12.743018454791219,12.689635243625919
North America,786.1972751330757,779.6227912819987,747.9970088386593,661.5520747616386,695.9591320043095,659.6341930507729,626.0180597167773,584.9094751946745,552.6372534363219,548.6528822193693,537.0728346098655,538.9903338317164,559.0071814634484,563.8234288115733,631.2508931416758,716.6121832377377,780.2283373111235,816.1307572823515,828.4392998377274,851.682767308159,913.7335231441118,984.9406699257997,1010.3405185748637,999.2830929136197,943.9104672294205,871.3314026025603,819.1380730597773,803.6835637324356,801.56149910227,797.9619404743054,821.0833002912962,866.0124242693232,906.4508339590772,896.8520798710161,886.2601438760416,907.3275878083815
South America,37.245084815991014,34.97302998894861,30.1840729427678,26.743015179167994,24.822880716354632,28.98086371749535,31.29226065163198,36.94079628081541,34.64510212407396,31.958835954893427,32.681716982948615,30.375813276983585,30.5298747909155,33.46360273465643,33.24117519419155,30.53720427190342,31.862745544879807,34.16151249256756,35.77564071347374,38.16547606904285,41.32879899099897,43.94509555464659,47.4606731290675,46.51338801636927,47.64340960988645,49.65412707205903,50.247552822127155,49.701737074293035,47.43844330756613,50.08071829192704,51.128556130674795,50.087031068236676,49.550886302699205,48.50709787656771,46.762082015530325,46.637146709792404
Asia & Oceania,134.5573300965824,141.6373108903239,148.24938843137943,150.78738408947763,157.99257899456896,161.46637810651336,162.48975276856956,167.23970515470495,171.56263233903226,177.93955732497176,178.54865807386585,188.514077926803,194.04376611441418,205.52613190088113,215.8050888524128,225.2425802677603,239.39025319852038,251.5159354051068,266.43646069254055,282.5785818683244,300.5163255365647,339.82038663379035,348.6894312430483,361.3521542760898,378.5695503303737,395.8530413121969,417.32234996240607,443.0174903101066,464.92854012524214,486.1670101588843,505.59268751805826,530.8650406096058,549.6520737751531,563.7079889816155,583.0676610131103,608.848681449151
Oceania,15.4951536903199,15.471039039926469,15.66363036852943,15.714528611381533,15.974097658648574,16.469753878702996,16.684676169752212,16.221294887528618,16.096612686877865,16.311187815799997,16.968840938005233,17.691750210891286,17.66409538689454,18.22018954638693,18.808922547063773,19.09136924927044,19.69142339626641,20.294767739426014,21.477998537120527,22.71887936404094,23.369626091911826,25.096868604374926,25.382560726202858,25.007335321242916,24.180045481133586,23.939841389801217,25.837675516882985,28.296457137721077,30.979455748087556,31.093796390160737,30.616253845888664,31.91476630245826,33.404651136163466,35.17355641457094,35.43928215150399,35.12263186113207
South Asia,25.81543431174385,26.913168451568335,26.935273261793007,26.02629394866865,25.670212941780402,28.218141673388683,28.428287150434166,29.73806501709522,30.10802410567217,32.244104009590316,33.39435392181815,37.567695761561346,38.97369024843494,40.180522925807985,40.26131159388649,41.277733371676284,46.958465390011206,49.5946390157299,50.2769888715459,51.2211968000734,56.51464960251908,65.38697266493692,66.26641034455888,67.35894326649714,67.40942287687811,67.73845040715733,71.35160406354956,73.05671664446096,79.47775681324029,84.90831740585155,88.75758917517324,94.30266143332449,94.61785791849466,94.57372685116644,96.501425393839,98.64674497244349
East Asia,78.25892715519952,82.97768282450326,87.73607746799043,90.8419080050772,97.75543032526137,97.76294851807924,97.03811923407105,99.29917890167066,102.32769019532125,105.02726016680974,106.27775427583944,111.7794176316788,116.12087121054138,125.46060111073746,133.72461727433281,139.40022340113595,146.9207674641963,155.45035583124906,167.4480626755097,177.82078114367,188.8993195689285,215.75782128337084,222.10256186501906,233.49590017891722,249.69059407205503,263.3465641724141,279.35002830798527,297.1943525459675,309.6919319975509,323.8429256336424,341.25636206496637,358.5042843432641,373.20021406521306,384.2105829062776,400.57299436763196,425.4157336717261
South East Asia,14.554506306978102,15.81349482135379,17.43356093961091,17.723024055149864,18.104042488880367,18.415664391625075,19.988098479568986,21.637810461629122,22.66531671143939,23.997704785586137,21.552130481363534,21.160988052352014,20.95372931687171,21.22644165109638,22.512523299189542,24.883067934253948,25.14842842800463,25.365095130305413,26.300220546301546,29.485466165564485,30.467847986923932,32.365059790867264,33.60049951401818,34.02107400588884,35.57620727468547,38.899138058314264,38.83631773904371,42.45707547452078,43.03668285728934,44.64591638525391,43.16564707055998,43.86840143048937,46.46738264627585,47.63643099815861,48.834830212729734,48.03522601216681
Central Asia,0.43330863234104705,0.4619257529720668,0.4808463934556366,0.48162946920035243,0.48879557999822815,0.5998696447174349,0.3505717347431585,0.34335588678132956,0.3649886397216503,0.35930054718554105,0.35557845683947403,0.314226270319629,0.3313799516716181,0.4383766668524184,0.4977141379401085,0.5901863114236897,0.6711685200417911,0.8110776883963795,0.9331900620628361,1.332258394975582,1.2648822862813776,1.2136642902403902,1.3373987932492082,1.4689015035436048,1.71328062562159,1.9290472845101247,1.9467243349445102,2.0128885074363763,1.742712709074127,1.6760543439756241,1.796835361469966,2.274927100069605,1.9619680090059228,2.1136918114417607,1.7191288874057233,1.628344931682587
Europe,674.079104160058,656.4572196170552,589.0797540028046,,357.6897927355516,328.32140254261475,321.9095619444579,296.2428829599491,293.40851249203223,296.8311802581741,284.99171035595765,290.5714111808084,300.96261858433195,303.9749562951617,311.60873044562425,318.79899133663633,323.13279353766626,321.73562832857704,333.79792364234004,343.81165826138715,354.0172633336304,359.4647767223362,352.0909055761179,346.8431457504196,351.7595779685295,346.70549874504326,351.1403708757179,360.8430988579895,374.40446148125073,363.9701204471985,369.9757644074542,389.26878067703694,409.5467249543445,419.631451933164,489.0562097458347,569.1193931707861
Central Europe,62.29852031292786,67.21038566235524,43.713763763317466,31.2735422612534,28.929418870674244,19.16649269057046,19.8344096696327,20.473961411837823,20.15065294979875,20.749065057471213,19.95902222457195,19.37433835601886,19.54768166222634,20.19955670530346,20.92239617386747,21.34773107748488,21.292154215156692,22.252126982928647,22.61721702633673,24.012182382865376,23.059405020990116,22.120868622882682,21.348522745477403,20.775778343374537,20.448648979260124,20.222934432954496,21.57049680786602,24.373998930339738,24.784824278517284,26.967372566737474,29.98786633179321,34.47190041349592,36.651048903844654,37.68242520039363,39.32470415524016,52.85923397445017
