Rank_1990-2025,Rank_1954-1989,Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990-2025_total,Share of global arms imports,1954-1989_Total,Percentage change from 1954-1989 to 1990-2025
1,1,India,2832,1873,1187,735,872,1396,831,1680,797,1227,987,1184,2001,2798,2242,1194,1479,2276,1624,1937,2891,3618,4494,5272,3201,2724,2558,2659,2011,3147,2646,3943,2629,1491,1168,75603,8.40%,59543,27%
2,16,Saudi Arabia,2039,1038,1149,2354,981,984,1727,2791,2886,1580,105,60,560,160,1159,166,206,227,387,827,1108,1172,810,1631,2711,3384,2974,3968,3004,3069,2530,1690,3058,1296,1111,54900,6.10%,22513,144%
3,18,China,274,445,1190,1236,310,707,1501,939,373,1720,2472,2754,2819,2315,3227,3459,2823,1691,1773,1376,939,1032,1542,1221,1033,1196,1209,1537,2008,1323,775,686,646,431,72,49057,5.40%,21923,124%
4,21,South Korea,1214,921,795,1024,1029,1965,1985,1230,1418,1636,1399,774,520,754,1055,803,1660,1730,1691,798,1299,1568,1077,189,742,268,1038,962,1030,1605,1273,812,423,218,1009,37909,4.20%,19601,93%
5,14,Turkiye,1241,1270,1879,2329,1891,1567,1491,1512,2627,1734,1182,505,882,331,257,1080,529,701,649,731,467,754,1481,769,1525,443,326,427,486,767,107,282,186,679,381,33465,3.70%,23954,40%
6,6,Japan,2678,2940,2519,2130,1020,1246,867,834,1480,1248,488,418,433,452,390,369,463,553,990,990,658,300,239,342,316,343,332,446,764,992,929,1114,1571,957,977,32790,3.60%,36892,-11%
7,4,Egypt,563,887,973,1258,2027,1704,969,1051,483,517,833,824,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1653,2472,1629,1081,1401,1290,743,1151,72,32404,3.60%,39145,-17%
8,31,Pakistan,635,511,352,992,862,368,506,691,699,867,175,412,566,645,471,431,324,694,1073,1194,2226,1141,1020,1106,856,759,853,872,894,656,620,978,1540,2393,982,29364,3.30%,14900,97%
9,63,UAE,561,237,205,582,571,426,481,690,757,437,246,183,221,676,1145,2072,1925,821,730,604,646,1217,1139,2302,734,1182,941,820,1055,703,651,538,714,948,932,28091,3.10%,3743,651%
10,26,Australia,356,219,364,448,262,64,597,35,542,678,326,1215,638,765,447,456,716,616,430,807,1558,1584,788,216,849,1448,1015,1664,1555,1157,1632,1215,815,379,983,26838,3.00%,17517,53%
11,24,Taiwan,466,651,475,1157,858,1318,1405,4746,3967,1736,592,342,291,112,316,695,503,13,11,36,71,173,411,614,1082,535,93,487,92,55,111,158,162,223,272,24229,2.70%,18002,35%
