Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,1633.927903,,1340.553481,1281.12844,1251.036983,1177.687947,1144.052474,1155.098102,1139.823711,1161.271012,1204.063297,1228.730725,1312.132696,1411.323527,1505.837172,1562.924492,1613.184876,1679.070368,1780.72881,1904.579361,1943.6755,1948.51803,1929.71044,1892.842077,1883.091018,1909.910864,1914.770936,1934.92282,1989.803009,2073.120729,2148.920612,2163.590687,2241.523495,2393.571574
Africa,20.31169032,17.64897823,16.2128375,19.26134251,28.58163314,15.81541989,14.88549144,15.99735684,17.09403886,25.83100523,23.67370407,22.92995983,25.34722944,23.76126868,28.86625682,28.34948578,30.19171905,31.55896456,37.48851796,37.66782601,39.31220739,43.07371552,42.3107153,45.61540172,47.65188747,44.31457299,41.73450073,40.94710934,38.52512782,39.21259676,40.57803131,41.51979928,39.52023824,48.35313947
North Africa,3.32393807,3.437679293,3.882596733,4.085071726,4.414555519,4.20749127,4.449207585,4.86860976,5.081232863,4.464776025,5.01311118,6.032951522,6.113314576,6.35061697,6.912568158,7.165505479,7.177628035,7.756923002,9.164135271,10.13276903,11.01717577,13.82220516,14.82273553,16.83678115,18.00112218,18.28869089,18.21082133,17.70793304,17.16374045,18.230263,19.31930274,18.98743844,18.40966507,25.35369005
sub-Saharan Africa,16.98775225,14.21129894,12.33024076,15.17627079,24.16707762,11.60792862,10.43628386,11.12874708,12.012806,21.36622921,18.66059289,16.89700831,19.23391486,17.41065171,21.95368866,21.1839803,23.01409101,23.80204156,28.32438269,27.53505698,28.29503162,29.25151036,27.48797977,28.77862058,29.65076529,26.0258821,23.5236794,23.23917631,21.36138738,20.98233376,21.25872857,22.53236084,21.11057317,22.99944942
Americas,782.5388432,692.4483354,725.3232016,693.2373255,662.6347604,626.4465182,591.9786068,585.335466,574.5554056,574.3620658,594.6471377,602.5822645,669.5311076,752.1261738,816.7425449,855.038709,868.8346726,895.6498866,960.9816397,1035.6842,1064.390495,1052.888099,999.0828926,928.9818668,877.6210729,861.3728351,857.8499161,856.3176809,881.3088941,926.0918132,968.2436448,957.2719227,945.7652443,966.6543698
Central America and the Caribbean,4.357761404,4.153245451,4.541188895,4.622268742,5.324439992,4.596246737,4.696251221,4.723747798,4.800854048,4.995918696,5.110081418,5.295232983,5.039039238,4.976786317,4.651462085,4.746439228,4.619732006,5.801643176,5.919317518,6.798434155,6.589303276,7.091617932,7.529015787,7.99633709,8.235447037,7.987534298,8.849973643,8.275022175,9.097037646,9.99235789,12.24192453,11.91274491,12.74301845,12.68963524
North America,747.9970088,661.5520748,695.959132,659.6341931,626.0180597,584.9094752,552.6372534,548.6528822,537.0728346,538.9903338,559.0071815,563.8234288,631.2508931,716.6121832,780.2283373,816.1307573,828.4392998,851.6827673,913.7335231,984.9406699,1010.340519,999.2830929,943.9104672,871.3314026,819.1380731,803.6835637,801.5614991,797.9619405,821.0833003,866.0124243,906.450834,896.8520799,886.2601439,907.3275878
South America,30.18407294,26.74301518,24.82288072,28.98086372,31.29226065,36.94079628,34.64510212,31.95883595,32.68171698,30.37581328,30.52987479,33.46360273,33.24117519,30.53720427,31.86274554,34.16151249,35.77564071,38.16547607,41.32879899,43.94509555,47.46067313,46.51338802,47.64340961,49.65412707,50.24755282,49.70173707,47.43844331,50.08071829,51.12855613,50.08703107,49.5508863,48.50709788,46.76208202,46.63714671
Asia & Oceania,148.2493884,150.7873841,157.992579,161.4663781,162.4897528,167.2397052,171.5626323,177.9395573,178.5486581,188.5140779,194.0437661,205.5261319,215.8050889,225.2425803,239.3902532,251.5159354,266.4364607,282.5785819,300.5163255,339.8203866,348.6894312,361.3521543,378.5695503,395.8530413,417.32235,443.0174903,464.9285401,486.1670102,505.5926875,530.8650406,549.6520738,563.707989,583.067661,608.8486814
Oceania,15.66363037,15.71452861,15.97409766,16.46975388,16.68467617,16.22129489,16.09661269,16.31118782,16.96884094,17.69175021,17.66409539,18.22018955,18.80892255,19.09136925,19.6914234,20.29476774,21.47799854,22.71887936,23.36962609,25.0968686,25.38256073,25.00733532,24.18004548,23.93984139,25.83767552,28.29645714,30.97945575,31.09379639,30.61625385,31.9147663,33.40465114,35.17355641,35.43928215,35.12263186
