Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,AFG,Military expenditure (% of general government expenditure),,,10.50265985,4.972825374,4.275736197,3.724855275,3.65259209,3.680251052,3.833142187,5.10979266,4.311764354,4.696372865,8.302760046,9.354596133,9.860389375,11.16540879,11.94840462,10.36038171,12.68975795,16.134336,,,,,,,,,,,,,,
Afghanistan,AFG,Military expenditure (% of GDP),,,1.827933856,1.358856927,1.170968382,1.006745856,0.9452267999,0.956772141,0.9945758227,1.298012878,1.076949768,1.17541612,1.821345454,1.945835694,2.087412553,2.335545702,2.566267352,1.896233996,1.992065699,2.431253787,,,,,,,,,,,,,,
Afghanistan,AFG,Arms imports (SIPRI trend indicator values),,,65000000,234000000,383000000,314000000,236000000,171000000,139000000,332000000,261000000,525000000,633000000,365000000,326000000,148000000,40000000,3000000,33000000,,,34000000,,,,,,,,,,,1236000000,1690000000
Afghanistan,AFG,Arms exports (SIPRI trend indicator values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",,,,,,,8.202471733,8.260235786,7.284904957,7.964570045,7.13206768,6.489447594,5.146921635,6.395579815,6.492490292,4.86058569,10.8146925,14.55921173,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Net ODA provided, total (constant 2021 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),,,0.72091633,1.18621242,0.49705607,0.55239552,0.64313394,0.60012972,0.52267277,0.47265697,0.44335932,0.34288675,0.47999981,0.46915731,0.53190351,0.62779975,0.55994755,0.49784002,0.5291841,0.54292566,0.65096337,0.08418062,,,,,,,,,,,,
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),,,4.05148983,4.24602795,1.77526009,1.90904689,2.31911564,2.14110541,2.01440597,1.86067402,1.77506959,1.37000275,2.18811917,2.25547075,2.51257253,3.00128436,2.60708547,2.72002935,3.37097836,3.60296822,5.45767879,1.21245599,,,,,,,,,,,,
Albania,ALB,Military expenditure (% of general government expenditure),5.619528756,3.970415428,3.869985139,3.980756321,4.405116196,3.991300876,3.80346445,3.78723434,3.778892513,4.243784983,4.826485536,5.267900096,5.283864502,5.303741525,4.642727214,6.256197865,6.226081057,5.428988625,4.734375202,4.663211038,4.612929526,4.269752801,4.14741289,3.843840657,3.578827146,3.582513769,4.424699425,,,,,,,
